persistence intervals in dim 0:
(6.724207249999999,8.511766500862322)
(6.727843,8.508168270642237)
(19.9460075,21.711756612106505)
(6.826060500000006,8.580260268471694)
(6.438249500000003,8.192439956664987)
(8.6608535,10.379030747104881)
(6.555816749999998,8.26484632744515)
(10.519361250000003,12.186715645868532)
(16.9780315,18.641586742856536)
(7.316875249999992,8.971163346520925)
(7.7663855000000055,9.411903662389909)
(6.474775250000006,8.111224058970834)
(6.8212632499999994,8.427184274191731)
(7.099900250000005,8.699037204022453)
(10.660441500000003,12.247882226990736)
(6.5542175,8.13825584846892)
(5.79109049999999,7.335138954245661)
(6.650599250000003,8.170366849265811)
(6.8934162499999925,8.368328815465587)
(7.100475500000016,8.571499575984529)
(7.118394500000001,8.58099164450051)
(6.6114394999999995,8.059660467875588)
(10.655303500000004,12.100917336393746)
(4.816790750000003,6.253061057868408)
(22.3553695,23.778156352933863)
(7.332106000000003,8.742198448155271)
(26.13271925,27.534855349259416)
(7.0854664999999954,8.464295390836906)
(7.075552249999998,8.42313335466443)
(7.171908249999996,8.517865574614241)
(7.041568500000002,8.386114538004083)
(11.282715249999997,12.625585663374446)
(17.8275455,19.167490752790805)
(29.02290149999999,30.329203799107894)
(7.588012249999993,8.887637615482273)
(7.315627250000004,8.598036138610762)
(26.18958200000001,27.46898756152168)
(21.146854500000003,22.421896109371595)
(6.786304250000002,8.04352350668643)
(17.083862749999994,18.32094553872662)
(11.468399249999997,12.69714437771308)
(7.605335250000001,8.829224533457324)
(6.843332499999998,8.065252144906935)
(6.981333500000009,8.19671873567469)
(6.734570749999996,7.917653566471255)
(20.910732499999995,22.090290045831942)
(7.29420125,8.460211980750856)
(21.91531625,23.07568285426982)
(7.7866695,8.928756076015892)
(7.24271525,8.382318676921988)
(5.984581499999994,7.11552024799739)
(13.923899249999995,15.05320715425248)
(7.377942249999993,8.505606900039869)
(24.70901125,25.819591051716397)
(7.446974249999993,8.553847653593312)
(7.12132825,8.20659886578218)
(15.838006250000014,16.92179907672697)
(7.438689000000014,8.521463170341658)
(7.866627250000018,8.926222764442045)
(10.300927499999993,11.35656837628212)
(7.343952250000001,8.39823251690548)
(10.113947249999999,11.155429663432209)
(7.190403,8.223844750274305)
(6.912469999999997,7.9195527307550275)
(6.5407049999999956,7.546761929275526)
(6.646278249999986,7.640009396847045)
(7.818600499999997,8.79485607967436)
(7.14740874999999,8.110465691067471)
(7.297571250000001,8.260574658416841)
(12.89862725000001,13.860129786876062)
(7.388391500000003,8.347578786817547)
(6.44144875,7.372827327218565)
(7.3709892499999885,8.283408527883726)
(7.727168749999995,8.639240208287898)
(9.100696750000004,10.009114436311313)
(17.32853275,18.206423891744258)
(13.899786500000006,14.774547670461631)
(16.977662250000005,17.83675328881131)
(7.709100250000003,8.528708743139298)
(21.54933350000001,22.364651282603923)
(7.1776595000000025,7.9887007133682335)
(8.415082999999994,9.221962844708539)
(7.162772499999999,7.962035440491254)
(6.305457249999998,7.101378939567894)
(13.358843499999997,14.14680106799589)
(7.907142249999991,8.680906220611174)
(20.717939,21.488194571625634)
(8.052598,8.822593821928333)
(7.573962750000007,8.342467093606214)
(4.581132499999999,5.259162162690014)
(9.318881999999997,9.977281585424109)
(8.104629499999996,8.754634417626558)
(16.327289249999993,16.97328114608922)
(16.760053500000012,17.404419661919327)
(16.606531250000018,17.24390335290115)
(8.095533999999999,8.729069630512182)
(5.844654749999997,6.4729949592543985)
(10.334248500000005,10.962366775399172)
(7.213720249999992,7.838002404292142)
(6.8145834999999915,7.4359812812135715)
(21.79693649999998,22.41509562357208)
(8.321359249999999,8.930189040025486)
(7.390017500000004,7.990850174712792)
(13.894333999999985,14.493408793236465)
(17.1273665,17.724883261884486)
(10.228203500000005,10.787267898868471)
(18.74603524999999,19.29499870276124)
(13.978630250000005,14.522145808102852)
(5.567033000000003,6.100450074396694)
(12.44670674999999,12.978296681700568)
(25.71162850000001,26.23819930204222)
(10.1794395,10.705951088461727)
(19.992186999999983,20.518622364192286)
(14.816118749999994,15.341355737439027)
(15.758108750000002,16.281400842458236)
(14.235422749999998,14.723550301033093)
